id,category,statement,nchar,polarity
75,2,"We can lift up people and places who've been left out, from our inner cities to Appalachia,  in every manufacturing town hollowed out when the factory closed,  every community scarred by substance abuse, every home where a child goes to bed hungry.",273,1
4,1,"We Democrats agree that every single American should and must have quality, affordable health care.",116,1
115,3,"We have to demonstrate a sustained commitment to building opportunity, creating prosperity and righting wrongs, not just every two or four years, not just when the cameras are on and people are watching, but every single day.",303,1
80,3,"We know how to do the work, all we need is the will.",69,1
72,2,"We need to try, as best we can, to walk in your shoes, to imagine what it would be like to sit down our son or daughter down  and have the talk, or if people followed us around stores, or locked their car doors when we walked past.",254,0
50,2,"We're going to keep reaching out and helping people, and giving folks the opportunity to get ahead and stay ahead.",131,0
83,3,We've got to make sure women get equal pay for the work we do. this is also a family issue.,108,0
85,3,"When we have differences, as any friends do, we will work to resolve them quickly and respectfully.",116,1
31,1,"You know, so the cashier says, well, you're a white woman, you only have to pay 78 cents on the dollar,  or you're an African-Americanwoman,  you only have to pay 68 cents, you're a Latina woman, you only have to pay 58 cents.",251,0
67,2,"You stand up and always have against gun violence, advocate for criminal justice reform, help young people find jobs,  hold corporations accountable, and in a million ways, lift up voices that too often go unheard.",235,1
